key,message,comment,context
"%d invoices treated successfully,","%d faturas tratadas com sucesso,",,
%s : Invoicing address missing,%s : Endereço de faturamento faltando,,
"%s : Please, configure a sequence for the customer invoices and the company %s","%s : Por favor, configure uma sequência para as faturas dos clientes e a empresa %s.",,
"%s : Please, configure a sequence for the supplier invoices and the company %s","%s : Por favor, configure uma sequência para as faturas dos fornecedores e as %s da empresa.",,
<span class='label label-warning'>Please add an invoice address and a delivery address by default.</span>,<span class='label label-warning'>Adicione um endereço de faturamento e um endereço de entrega padrão.</span>,,
About,Sobre,,
Accounted Revenue,Receita Contábil,,
Accounting family,Família contábil,,
Accounting information,Informação contábil,,
Accounting situation,Situação contábil,,
Accounting situation %s,Situação contábil %s,,
Activate passed for payment,Ativar aprovação de pagamento,,
Address,Endereço,,
Address precisions,Complemento do Endereço,,
Advance payment needed,É necessário pagamento adiantado,,
All,Todos,,
Allow cancelation of ventilated invoice,Permitir o cancelamento da fatura escriturada,,
App Supplychain,App Rede de Fornecimento,,
Archive,Arquivar,,
Are you sure you want to validate all selected invoices ?,Tem a certeza de que pretende validar todas as faturas selecionadas?,,
Are you sure you want to ventilate all selected invoices ?,Tem a certeza de que pretende escriturar todas as faturas selecionadas?,,
Are you sure you want to ventilate the invoice ?,Tem a certeza que quer escriturar a fatura?,,
Bank details tree,Árvore de detalhes bancários,,
Block deallocation on availability request,Bloquear desalocação nas solicitações de disponibilidade,,
Business sectors,Setores de atividade,,
Canton,Distrito,,
Canton Code,Código de Distrito,,
Cantons,Distritos,,
Categories tree,Árvore de Categorias,,
Check Duplicate,Verificar duplicidade,,
Citizenship,Nacionalidade,,
ClientSituation.address,Endereço,,
ClientSituation.contacts,Contatos,,
ClientSituation.invoices,Faturas,,
ClientSituation.website,Site,,
Comment to display,Comentário para exibir,,
Comment to display on delivery,Comentário para exibir na entrega,,
Comment to display on invoice,Comentários para exibir na fatura,,
Comment to display on proforma,Comentário para exibir na proforma,,
Comment to display on sale order,Comentário para exibir na ordem de venda,,
Company tree,Árvore da Empresa,,
Complete sale order when all has been invoiced,Concluir a ordem de venda quando tudo tiver sido faturado,,
Contact PhoneBook,Contatar a lista telefônica,,
Contacts,Contatos,,
"Create ""{0}"" and select...","Criar ""{0}"" e selecionar…",,
"Create ""{0}""...","Criar ""{0}""...",,
Create sale quotation,Criar cotação de venda,,
Create...,Criar…,,
Created On:,Criado em:,,
Current changes will be lost. Do you really want to proceed?,As alterações serão perdidas. Você realmente deseja continuar?,,
Cust. Invoices,Cust. Faturas,,
Cust. Invoices to merge,Cust. Faturas a fundir,,
Customers by Industry Sector,Clientes por Setor de Atividade,,
Customers payment delay (Average in days),Prazo pagamento clientes (Médias de dias),,
Display sale order line number,Mostrar número da linha do pedido,,
"Distribution precisions (POB, Village...)",Bairro,,
Emergency contact,Contato de emergência,,
Enable to invoice timesheet,Permitir o faturamento da folha de ponto,,
Expenses to Ventilate,Despesas de Escrituração,,
Export reporting to invoices direct debits :,Relatórios de exportação para faturas de débitos diretos :,,
Freeze fields,Bloquear campos,,
General contact details,Dados gerais de contato,,
In,Entrada,,
In %,Em %,,
Industry sector,Setor da indústria,,
Industry sectors,Setores industriais,,
Internal purchase requests,Pedidos de compra interna,,
Invalid permissions,Permissões inválidas,,
Inventories,Inventários,,
Invoice all,Faturamento todos,,
Invoice controlled,Faturamento controlado,,
Invoice periods,Períodos de faturamento,,
Invoice sending media,Envio de faturas através de meios de comunicação,,
Invoice ventilation's reporting :,Escrituração das faturas a reportar:,,
Invoice's or credit note's date can't be previous last invoice ventilated on month's date,A data da fatura ou da nota de crédito não pode ser a última fatura anterior escriturada na data do mês,,
Invoice's or credit note's date can't be previous last invoice ventilated on year's date,A data da fatura ou da nota de crédito não pode ser a última fatura anterior escriturada na data do ano,,
Invoice's or credit note's date can't be previous last invoice ventilated's date,A data da fatura ou da nota de crédito não pode ser a data da última fatura escriturada.,,
Invoice(s) ventilated,Fatura(s) escriturada(s),,
Invoices,Faturas,,
Invoices to pay,Faturas a pagar,,
Invoicing,Faturamento,,
Invoicing address,Endereço de faturamento,,
Invoicing content,Conteúdo da fatura,,
Invoicing information,Informações de faturamento,,
Invoicing Management,Gestão de faturamento,,
Invoicing management,Gestão da fatura,,
Invoicing moment,Momento da fatura,,
Last modified,Última modificação,,
Last modified...,Última modificação…,,
Legal note on sale invoices,Nota legal sobre as faturas de venda,,
Loading,Carregando,,
Loading...,Carregando…,,
Log in,Conectar,,
Log out,Desconectar,,
Main/Invoicing address,Endereço principal/faturamento,,
Manage advance payments from payment conditions,Gerenciar pagamentos antecipados de condições de pagamento,,
Manage customerCredit,Gerenciar crédito do cliente,,
Manage multiple sale quantity,Gerenciar quantidades múltiplos na venda,,
Manual,Manual,,
MapRest.Invoicing,faturamento,,
Mass,Peso,,
Mass unit,Unidade de peso,,
Merge Cust. Invoices,Fusão de clientes Faturas,,
Meta Permissions,Meta Permissões,,
Mobile phone,Celular,,
"Move is ventilated on a closed period, and can't be canceled","O movimento é escriturado num período fechado, e não pode ser cancelado",,
Move lines,Registro de movimento,,
Move Lines,Registro de movimento,,
N° and Street label,Endereço com número,,
Name,Nome,,
Net mass,Peso liquido,,
No records found.,Nenhum registro encontrado.,,
OK,Confirmar,,
Order bloqued message,Mensagem de pedido bloqueado,,
Order Bloqued Message,Mensagem de pedido bloqueado,,
Out,Saída,,
Pack Management,Gerenciar Pacote,,
Partner sources,Origens de parceiros,,
Partners by Industry Sector,Parceiros por Setor de Atividade,,
Payment delay (Average in days),Prazo para pagamento (Médias de dias),,
Permissions ({0}),Permissões ({0}),,
